id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
2883,I,1.175,0.875,0.325,13.05494475,5.10291,2.93417325,4.082328,9.0
2884,I,0.9625,0.75,0.225,7.49844275,3.1467945,1.43164975,2.551455,6.0
2885,F,1.525,1.1875,0.375,33.40988575,14.81261375,7.52679225,9.2135875,13.0
2886,I,1.0875,0.8375,0.2625,10.3475675,4.422522,2.25378525,2.9766975,8.0
2887,F,1.4875,1.15,0.4125,36.35823375,13.2392165,6.577084,10.0640725,25.0
2888,F,1.425,1.05,0.3625,26.3933845,11.07047975,5.556502,7.12989925,8.0
2889,I,0.5125,0.4125,0.1,0.9922325,0.35436875,0.18427175,0.226796,4.0
2890,M,1.6375,1.3125,0.4125,45.1607535,19.5895045,6.973977,11.623295,11.0
2891,F,1.1,0.85,0.2625,10.02154825,4.422522,2.26796,3.40194,9.0
2892,M,1.325,1.025,0.325,21.27629975,9.31281075,3.98310475,7.2291225,8.0
2893,M,1.2,0.8875,0.3875,18.6256215,8.17883075,3.345241,5.5281525,11.0
2894,M,1.45,1.1625,0.35,27.51318975,13.7495075,5.783298,6.520385,9.0
2895,M,1.6125,1.35,0.4875,44.8772585,20.695135,10.8578585,10.9145575,13.0
2896,F,1.3625,1.125,0.4,28.90231525,9.87980075,5.11708475,10.489315,13.0
2897,I,1.2,0.925,0.3,15.195332,6.7188315,2.96252275,4.26659975,7.0
2898,M,1.4625,1.15,0.3875,25.51455,10.81533425,4.60679375,7.654365,10.0
2899,I,0.9125,0.6625,0.225,6.7188315,3.04757125,1.11980525,2.14038725,6.0
2900,F,1.5625,1.2,0.4125,36.117263,16.7545545,7.41339425,8.788345,11.0
2901,F,1.6,1.25,0.4,30.83008125,13.42348825,6.78970525,9.922325,9.0
2902,F,1.2625,0.975,0.325,17.05222425,6.81805475,3.86970675,5.10291,12.0
2903,I,1.2,0.95,0.3125,15.23785625,8.9300925,2.9199985,4.422522,8.0
2904,F,1.4875,1.1875,0.4375,33.46658475,14.21727425,7.6827145,9.979024,10.0
2905,I,1.1625,0.8875,0.275,12.7289255,5.386405,2.82077525,3.96893,7.0
2906,I,0.8125,0.6125,0.2125,4.6209685,2.19708625,0.963883,1.3891255,6.0
2907,I,1.225,0.95,0.325,15.74814725,8.32057825,3.04757125,4.53592,8.0
2908,I,1.1375,0.8625,0.3,12.37455675,4.7910655,2.42388225,3.8271825,7.0
2909,I,1.025,0.7875,0.2625,9.4970825,3.40194,2.381358,2.7499015,6.0
2910,F,1.4625,1.25,0.425,32.4601775,13.73533275,6.25106475,8.788345,9.0
2911,I,0.75,0.575,0.2,3.6570855,1.48834875,0.850485,1.13398,5.0
2912,I,0.8625,0.7125,0.25,6.27941425,2.664853,1.68679525,2.1262125,6.0
2913,M,1.0375,0.8,0.2875,10.98543125,3.912231,2.4097075,3.5436875,11.0
2914,M,1.4375,1.1125,0.4125,26.2232875,11.8217415,6.80388,7.7961125,9.0
2915,I,0.875,0.6375,0.1875,6.1518415,2.6932025,1.247378,1.70097,7.0
2916,I,0.975,0.75,0.225,7.10154975,3.515338,1.7293195,2.26796,8.0
2917,M,1.6875,1.3125,0.4125,39.745999,14.01882775,8.32057825,11.1980525,21.0
2918,F,0.8375,0.5875,0.2125,5.613201,1.644271,1.40330025,1.644271,11.0
2919,M,1.3625,1.1,0.3375,25.16018125,9.48290775,4.479221,7.5126175,15.0
2920,M,1.7625,1.4125,0.5,53.410458,23.17571625,13.891255,12.8990225,10.0
2921,M,1.375,1.0125,0.3,23.00561925,8.561549,4.3941725,5.6699,14.0
2922,I,0.7,0.5375,0.1875,3.30271675,1.54504775,0.60951425,0.850485,6.0
2923,I,1.0,0.7875,0.2625,9.19941275,3.6570855,1.7293195,2.6932025,8.0
2924,M,1.45,1.125,0.3375,23.43086175,11.15552825,4.12485225,6.23689,8.0
2925,I,1.0875,0.8375,0.3,11.43902325,6.0384435,2.0695135,3.2034935,8.0
2926,F,1.5125,1.1875,0.3625,32.89959475,13.2392165,6.577084,8.788345,10.0
2927,M,1.4875,1.1875,0.45,35.3518265,11.396499,6.95980225,11.41067375,19.0
2928,F,1.525,1.175,0.4125,31.411246,13.93377925,6.39281225,9.2135875,10.0
2929,F,1.5375,1.1875,0.4,26.46425825,11.8784405,5.17378375,7.37087,9.0
2930,F,1.575,1.175,0.4375,32.21920675,12.43125575,7.0023265,9.07184,13.0
2931,M,1.3125,1.0125,0.325,21.9708625,8.60407325,4.819415,5.386405,15.0
2932,F,1.4125,1.075,0.3875,25.58542375,9.99319875,6.010094,8.788345,13.0
2933,M,1.275,0.9875,0.375,23.00561925,6.67630725,5.48562825,6.80388,9.0
2934,I,1.35,1.0125,0.35,23.11901725,12.51630425,4.479221,6.23689,9.0
2935,F,1.65,1.275,0.5125,38.782116,14.6566915,8.731646,12.2186345,12.0
2936,F,1.4625,1.1625,0.3625,29.15746075,11.793392,6.123492,8.788345,13.0
2937,F,1.5125,1.2125,0.375,30.107169,14.571643,7.38504475,7.10154975,9.0
2938,F,1.5,1.1875,0.4375,28.292801,9.0434905,5.03203625,9.07184,14.0
2939,I,1.1625,0.875,0.275,12.09106175,6.123492,2.8066005,3.96893,8.0
2940,I,1.25,0.925,0.3,14.004653,6.25106475,2.9766975,4.3941725,7.0
2941,I,0.475,0.3625,0.075,0.9355335,0.4252425,0.15592225,0.283495,5.0
2942,I,0.825,0.65,0.225,5.10291,2.721552,1.26155275,1.70097,8.0
2943,I,1.3875,1.0625,0.375,23.43086175,9.76640275,3.81300775,7.2291225,15.0
2944,F,1.1625,0.9,0.3125,13.36678925,5.6699,3.6003865,4.819415,12.0
2945,F,1.4875,1.2,0.425,31.19862475,11.07047975,5.3580555,11.90679,17.0
2946,I,1.1,0.85,0.275,11.09882925,5.57067675,2.494756,3.40194,8.0
2947,I,1.375,1.0625,0.3625,21.9708625,8.561549,4.46504625,6.6621325,8.0
2948,I,1.1,0.8625,0.2875,11.35397475,4.9611625,2.87747425,3.40194,8.0
2949,F,1.375,1.0625,0.3875,25.741346,9.525432,4.706017,9.2135875,19.0
2950,M,1.6375,1.3125,0.4125,39.7743485,16.9246515,8.3631025,11.623295,11.0
2951,M,1.3,1.0,0.325,18.653971,7.52679225,4.082328,5.2446575,11.0
2952,I,1.175,0.9,0.3,14.69921575,7.597666,2.99087225,3.685435,8.0
2953,I,0.9,0.675,0.2125,6.30776375,2.65067825,1.40330025,1.984465,6.0
2954,I,1.2125,0.975,0.3125,14.58581775,6.0951425,3.35941575,4.5075705,8.0
2955,M,1.425,1.15,0.3625,27.68328675,10.3475675,6.08096775,8.221355,8.0
2956,I,0.95,0.725,0.25,7.2858215,3.24601775,1.85689225,2.4097075,8.0
2957,M,1.5125,1.175,0.4,31.467945,14.5432935,6.64795775,8.7599955,11.0
2958,I,1.275,0.975,0.3375,17.08057375,6.123492,4.01145425,5.5281525,9.0
2959,M,1.25,0.95,0.3625,17.7184375,6.4353365,3.52951275,6.23689,12.0
2960,M,1.5875,1.25,0.4125,37.9032815,17.4349425,8.60407325,9.4970825,11.0
2961,M,1.4125,1.1,0.3625,26.54930675,12.43125575,5.216308,7.654365,8.0
2962,M,1.2,0.95,0.325,14.61416725,5.71242425,3.61456125,4.3941725,8.0
2963,F,1.275,1.0,0.3125,23.019794,7.41339425,4.01145425,6.520385,12.0
2964,F,1.225,0.975,0.3625,16.896302,6.8322295,3.27436725,6.0951425,17.0
2965,I,1.3,1.0,0.35,16.65533125,6.633783,3.798833,5.2446575,8.0
2966,I,1.1,0.85,0.3,12.99824575,5.499803,2.73572675,3.685435,8.0
2967,M,1.6125,1.225,0.475,44.04094825,20.97863,10.149121,10.6310625,9.0
2968,I,0.675,0.5125,0.1375,2.8066005,1.20485375,0.4819415,0.850485,5.0
2969,I,0.5875,0.4375,0.1125,1.814368,0.60951425,0.29766975,0.510291,5.0
2970,I,0.9125,0.6875,0.2125,6.81805475,2.948348,1.51669825,1.984465,7.0
2971,M,1.5375,1.225,0.425,31.79396425,14.7133905,6.98815175,10.0640725,10.0
2972,M,1.3125,1.0125,0.35,18.10115575,8.51902475,3.4869885,5.5281525,9.0
2973,I,1.125,0.8625,0.3375,11.58077075,4.29494925,2.33883375,3.30271675,7.0
2974,I,1.0375,0.7625,0.2875,10.21999475,4.63514325,2.5231055,2.9199985,8.0
2975,F,1.3,1.0375,0.3625,19.60367925,9.70970375,4.819415,5.5281525,8.0
2976,F,1.425,1.1125,0.375,30.91512975,12.927372,7.01650125,8.788345,11.0
2977,F,1.375,1.0875,0.375,23.43086175,10.489315,5.99591925,6.690482,10.0
2978,F,1.4625,1.1375,0.4,32.31843,11.04213025,6.53455975,11.90679,16.0
2979,I,0.8625,0.6375,0.2,5.386405,2.25378525,1.077281,1.5025235,6.0
2980,F,1.5,1.15,0.3625,27.1871705,13.947954,6.406987,7.5126175,9.0
2981,M,1.2625,0.9625,0.3125,18.0019325,7.47009325,3.8271825,4.9611625,8.0
2982,I,0.8875,0.675,0.2,6.64795775,2.48058125,1.09145575,1.8994165,6.0
2983,I,1.2,1.0,0.3125,18.71067,7.0590255,3.81300775,5.953395,8.0
2984,M,1.3375,1.0,0.3625,21.4605715,9.07184,4.37999775,5.953395,8.0
2985,F,1.6375,1.2625,0.4375,38.00250475,14.6566915,8.4198015,10.0640725,13.0
2986,F,1.475,1.1375,0.375,28.81726675,13.19669225,5.6982495,7.654365,9.0
2987,F,1.2625,1.0,0.3375,19.49028125,9.73805325,5.0745605,4.9611625,9.0
2988,M,1.0125,0.7625,0.225,7.2858215,2.721552,1.6726205,2.4097075,7.0
2989,I,0.9125,0.6875,0.225,6.95980225,2.84912475,1.48834875,1.871067,6.0
2990,I,0.9875,0.6875,0.2125,6.4353365,2.6365035,1.77184375,2.1262125,8.0
2991,I,0.525,0.375,0.1125,1.13398,0.35436875,0.226796,0.29766975,5.0
2992,M,1.15,0.9375,0.3,13.324265,5.74077375,2.50893075,4.3941725,10.0
2993,F,1.6125,1.3,0.4,39.7743485,16.612807,8.731646,11.7650425,13.0
2994,I,0.725,0.525,0.1375,3.04757125,1.5025235,0.907184,0.8788345,3.0
2995,I,1.05,0.7875,0.2875,10.44679075,4.819415,1.4458245,2.9766975,7.0
2996,M,1.5,1.2,0.375,32.16250775,14.92601175,7.257472,7.654365,9.0
2997,F,1.3,0.975,0.3125,16.2442635,7.711064,3.18931875,5.5281525,8.0
2998,I,1.575,1.25,0.475,37.32211675,17.08057375,7.98038425,10.489315,10.0
2999,I,1.0625,0.85,0.2625,11.6516445,4.706017,2.65067825,3.8271825,7.0
3000,M,1.3125,1.0,0.3,18.6256215,8.164656,3.685435,4.819415,8.0
3001,I,1.5625,1.125,0.425,30.03629525,12.14776075,5.74077375,8.221355,9.0
3002,M,1.425,1.1,0.375,28.8314415,15.52135125,5.783298,6.80388,9.0
3003,F,1.4875,1.175,0.4125,30.94347925,13.08329425,7.47009325,9.2135875,10.0
3004,M,1.225,0.95,0.275,16.9246515,8.32057825,3.27436725,4.53592,8.0
3005,M,1.425,1.175,0.4375,34.0477495,15.0535845,7.3992195,8.788345,9.0
3006,F,1.675,1.35,0.5,47.95317925,18.92329125,9.56795625,13.891255,11.0
3007,M,1.05,0.85,0.325,11.77921725,6.0384435,2.26796,3.5436875,7.0
3008,M,1.45,1.1125,0.375,23.51591025,9.82310175,4.4508715,7.37087,10.0
3009,M,1.575,1.225,0.375,31.808139,14.968536,6.010094,9.8939755,9.0
3010,M,1.6,1.2875,0.425,39.73182425,19.447757,8.8166945,11.4815475,12.0
3011,F,1.7125,1.325,0.475,42.2691045,20.62426125,8.674947,12.0485375,11.0
3012,F,1.4125,1.1125,0.4375,27.9242575,9.808927,5.93922025,9.355335,12.0
3013,F,1.5625,1.2125,0.4125,34.529691,13.99047825,8.5898985,8.9300925,10.0
3014,F,1.45,1.1875,0.3875,26.2232875,11.0846545,5.159609,6.80388,16.0
3015,M,1.1375,0.875,0.2625,13.11164375,5.6699,2.3530085,3.61456125,12.0
3016,I,0.4625,0.3375,0.1125,0.7654365,0.2551455,0.226796,0.2551455,3.0
3017,M,1.4625,1.125,0.3875,27.34309275,10.319218,5.9250455,8.1363065,10.0
3018,M,1.575,1.1875,0.375,32.02076025,15.025235,6.30776375,8.9300925,10.0
3019,M,1.4875,1.15,0.3875,29.24250925,12.06271225,6.80388,7.5126175,10.0
3020,M,1.55,1.2125,0.475,38.71124225,13.65028425,7.654365,16.0174675,17.0
3021,I,1.25,1.0,0.3625,18.83824275,7.75358825,3.9405805,5.953395,11.0
3022,I,0.9125,0.6875,0.2125,6.95980225,2.2396105,1.0489315,1.984465,7.0
3023,F,1.6375,1.2875,0.4375,37.364641,15.592225,8.901743,11.12717875,10.0
3024,I,0.8,0.6125,0.2,4.03980375,1.85689225,0.793786,1.417475,5.0
3025,F,1.5625,1.225,0.475,37.1094955,13.13999325,9.05766525,11.3398,12.0
3026,F,1.5,1.1375,0.375,28.73221825,12.1052365,5.9817445,8.50485,10.0
3027,F,1.6375,1.225,0.4375,39.405805,16.839603,8.901743,11.4815475,15.0
3028,F,1.4125,1.1,0.4,26.01066625,10.6310625,6.08096775,8.221355,10.0
3029,F,1.675,1.3,0.4375,35.13920525,15.762322,7.47009325,11.7650425,18.0
3030,I,0.9625,0.7625,0.2625,8.9300925,3.855532,1.7293195,2.83495,7.0
3031,F,1.3375,1.0625,0.375,21.885814,8.91591775,6.08096775,7.37087,10.0
3032,F,1.775,1.3875,0.4375,45.756093,20.97863,10.90038275,12.03436275,9.0
3033,M,1.5875,1.2125,0.45,38.838815,17.93105875,8.66077225,10.0640725,12.0
3034,M,1.5,1.2125,0.375,37.32211675,17.73261225,7.86698625,9.56795625,11.0
3035,I,1.0375,0.8125,0.225,10.0073735,4.9611625,2.2963095,3.5436875,10.0
3036,M,1.4625,1.1375,0.4125,30.51823675,13.65028425,5.726599,8.50485,17.0
3037,F,1.6875,1.3625,0.5375,53.4388075,26.3366855,10.36174225,14.514944,11.0
3038,I,1.225,0.95,0.3375,14.07552675,5.613201,2.96252275,4.9611625,11.0
3039,I,0.475,0.325,0.175,0.963883,0.453592,0.1417475,0.283495,4.0
3040,M,1.5625,1.275,0.4625,38.55532,17.16562225,9.36950975,12.20445975,11.0
3041,M,1.3125,1.1,0.3375,23.62930825,10.70193625,5.51397775,7.9095105,8.0
3042,M,1.65,1.3125,0.4875,45.302501,20.1564945,9.412034,10.0640725,11.0
3043,I,0.875,0.6375,0.2,5.06038575,2.14038725,0.9922325,1.70097,6.0
3044,I,1.3125,1.0375,0.3625,19.80212575,8.561549,4.43669675,5.5281525,8.0
3045,M,1.2625,0.95,0.3125,18.21455375,7.200773,4.03980375,4.819415,12.0
3046,M,1.375,1.125,0.3625,26.194938,11.75086775,5.99591925,7.5126175,14.0
3047,F,1.5875,1.2875,0.425,36.117263,18.9091165,8.561549,8.0796075,9.0
3048,I,0.6375,0.475,0.175,2.45223175,0.97805775,0.58116475,0.7087375,5.0
3049,I,1.1,0.8625,0.3,12.34620725,5.88252125,2.99087225,3.40194,8.0
3050,F,1.475,1.1875,0.3625,24.4089195,11.69416875,4.876114,7.5126175,10.0
3051,I,1.225,0.95,0.325,16.85377775,7.9095105,3.6570855,4.35164825,8.0
3052,F,1.375,1.1,0.4125,26.12406425,10.035723,4.63514325,8.3631025,9.0
3053,I,0.825,0.65,0.2125,5.10291,2.39553275,1.20485375,1.5592225,6.0
3054,M,1.2375,0.9625,0.325,16.8112535,6.98815175,3.50116325,5.11708475,8.0
3055,I,1.1,0.825,0.275,10.0073735,4.32329875,2.2396105,3.40194,6.0
3056,M,1.55,1.2375,0.45,36.6559035,17.3215445,8.71747125,10.489315,10.0
3057,M,1.4125,1.125,0.3875,26.9036755,12.1052365,4.89028875,7.2291225,11.0
3058,I,0.8625,0.675,0.25,5.5848515,2.02698925,1.34660125,1.8427175,7.0
3059,F,1.4875,1.1375,0.475,41.23434775,14.04717725,7.0023265,11.90679,23.0
3060,I,0.7125,0.5625,0.1875,3.21766825,1.2757275,0.75126175,0.9922325,5.0
3061,I,0.8125,0.575,0.2125,4.422522,1.74349425,0.97805775,1.417475,6.0
3062,M,1.4125,1.05,0.3875,29.44095575,14.0330025,6.08096775,6.6621325,10.0
3063,I,1.3375,1.025,0.35,20.921931,8.788345,4.365823,5.0178615,9.0
3064,I,1.375,1.0375,0.3375,19.03668925,9.298636,3.7704835,5.2446575,8.0
3065,M,1.625,1.275,0.475,38.838815,17.0380495,8.164656,10.44679075,11.0
3066,I,1.2375,1.0,0.3125,18.824068,8.731646,3.9972795,5.953395,11.0
3067,I,1.1375,0.8375,0.2875,11.8217415,5.4147545,2.14038725,3.118445,9.0
3068,M,1.5875,1.2625,0.475,36.0322145,13.53688625,8.0796075,12.190285,12.0
3069,F,1.5625,1.225,0.375,32.3623145,14.84096325,7.10154975,8.74582075,14.0
3070,I,0.925,0.6875,0.225,6.577084,3.1467945,1.51669825,2.1262125,6.0
3071,I,1.0,0.75,0.225,9.8372765,4.43669675,1.97029025,2.551455,6.0
3072,I,0.8875,0.675,0.225,6.577084,3.75630875,1.54504775,2.1262125,7.0
3073,F,1.4125,1.175,0.425,28.76056775,10.149121,5.499803,9.922325,16.0
3074,F,1.4375,1.125,0.35,28.02348075,13.04077,5.74077375,7.04485075,8.0
3075,I,1.0875,0.875,0.2625,10.30504325,4.46504625,2.3530085,3.40194,8.0
3076,I,1.1125,0.8875,0.2875,12.9557215,5.62737575,2.93417325,3.685435,8.0
3077,M,1.5625,1.2125,0.375,29.44095575,12.1052365,6.95980225,8.9300925,10.0
3078,M,1.5,1.1875,0.375,31.2694985,15.2803805,6.2652395,7.93786,10.0
3079,M,1.55,1.2125,0.4375,36.570855,15.06775925,6.747181,10.6310625,13.0
3080,I,1.1625,0.8875,0.2625,11.66581925,4.32329875,2.9199985,4.1673765,9.0
3081,I,0.8625,0.65,0.225,5.6699,2.1262125,1.63009625,1.5592225,9.0
3082,M,1.4125,1.0625,0.3375,28.05183025,13.42348825,5.6699,5.8116475,9.0
3083,I,1.3875,1.1,0.35,20.8935815,9.36950975,4.252425,6.7755305,10.0
3084,I,1.025,0.8125,0.2375,8.23552975,3.89805625,1.80019325,2.83495,8.0
3085,M,1.3125,1.0125,0.3125,16.91047675,7.1724235,3.50116325,5.10291,10.0
3086,I,0.95,0.7,0.225,6.0951425,2.551455,1.304077,1.5592225,7.0
3087,M,1.7125,1.325,0.4,40.78075575,20.0430965,8.8166945,8.50485,9.0
3088,M,1.6125,1.2625,0.4125,35.13920525,15.762322,7.7394135,11.623295,13.0
3089,I,1.4375,1.125,0.3875,23.94115275,12.11941125,4.479221,6.520385,9.0
3090,I,1.1875,0.725,0.25,12.813974,5.40057975,2.50893075,3.5436875,7.0
3091,M,1.6125,1.2875,0.4125,37.74735925,16.939209,9.39785925,10.0640725,11.0
3092,M,1.5875,1.2125,0.4375,35.59279725,14.911837,7.29999625,9.1001895,11.0
3093,I,1.35,1.0375,0.3875,20.11397025,9.42620875,4.77689075,6.6621325,10.0
3094,M,1.0,0.75,0.25,9.19941275,4.63514325,1.8994165,2.5231055,8.0
3095,M,1.4875,1.225,0.3875,33.8776525,13.11164375,7.66853975,9.4970825,11.0
3096,I,1.275,0.95,0.3125,15.2236815,6.520385,3.44446425,4.252425,9.0
3097,F,1.3125,1.0125,0.3125,17.463292,6.81805475,4.3941725,5.953395,8.0
3098,M,1.5,1.1875,0.4,35.550273,17.22232125,8.09378225,9.355335,9.0
3099,M,1.575,1.2,0.375,34.8415355,14.5432935,7.66853975,10.20582,27.0
3100,F,1.3875,1.15,0.4,25.41532675,9.28446125,5.14543425,7.7961125,13.0
3101,F,1.3375,1.1375,0.35,24.47979325,10.21999475,5.4714535,7.37087,12.0
3102,F,1.525,1.2,0.4125,28.67551925,11.01378075,7.41339425,7.654365,16.0
3103,I,0.8,0.6125,0.1875,4.91863825,2.05533875,1.03475675,1.417475,6.0
3104,I,0.8,0.6,0.2,4.92096475,2.05533875,1.13398,1.43164975,5.0
3105,I,1.1,0.85,0.3,13.4660125,5.74077375,2.87747425,3.2601925,8.0
3106,F,1.55,1.2125,0.375,35.096681,14.911837,5.8683465,8.391452,9.0
3107,F,1.4375,1.125,0.4,24.6924145,8.15048125,4.649318,7.087375,14.0
3108,M,1.4875,1.1375,0.4125,31.79396425,14.13222575,7.98038425,7.767763,11.0
3109,I,0.4625,0.3375,0.1,0.907184,0.32601925,0.18427175,0.283495,4.0
3110,F,1.625,1.2875,0.425,33.46658475,14.0330025,8.0229085,9.07184,10.0
3111,M,1.5375,1.1875,0.4375,34.5013415,15.989118,8.60407325,9.36950975,11.0
3112,M,1.3125,1.025,0.4125,24.9192105,8.34892775,5.0745605,9.48290775,11.0
3113,M,1.5625,1.2375,0.4,31.071052,16.329312,7.597666,8.50485,9.0
3114,F,1.8,1.4125,0.55,56.075311,26.80445225,11.396499,16.0174675,11.0
3115,M,1.4375,1.125,0.4,27.51318975,13.2959155,4.63514325,7.2291225,9.0
3116,F,1.1625,0.8875,0.275,13.48018725,5.68407475,2.9199985,4.3941725,8.0
3117,M,1.4625,1.175,0.4375,32.545226,15.03940975,6.13766675,9.2135875,11.0
3118,I,0.7,0.5,0.175,3.4302895,1.54504775,0.75126175,0.9922325,3.0
3119,F,1.625,1.3125,0.525,40.44056175,18.80989325,10.50348975,11.1980525,13.0
3120,M,1.5125,1.2,0.375,29.596878,13.4093135,6.90310325,8.788345,10.0
3121,M,1.5125,1.1375,0.425,30.80173175,12.47378,7.07320025,7.654365,18.0
3122,M,1.5125,1.2,0.4125,29.49765475,13.11164375,7.52679225,8.9300925,12.0
3123,F,1.375,1.0625,0.3625,23.45921125,8.32057825,5.8683465,7.64019025,12.0
3124,I,0.775,0.6125,0.1875,4.2807745,1.8427175,0.86465975,1.2757275,6.0
3125,M,1.4375,1.175,0.4125,33.40988575,16.4143605,7.86698625,8.9300925,9.0
3126,I,0.85,0.625,0.2125,5.783298,2.11203775,1.17650425,1.70097,7.0
3127,I,1.075,0.8375,0.25,10.3475675,4.9611625,2.14038725,2.9766975,7.0
3128,I,0.875,0.6625,0.2125,4.91863825,2.2963095,0.963883,1.70097,9.0
3129,I,0.9375,0.7,0.225,6.350288,2.65067825,1.417475,1.984465,6.0
3130,M,1.5125,1.1375,0.375,28.76056775,13.4660125,6.010094,7.087375,9.0
3131,F,1.6375,1.2125,0.4625,38.55532,20.14231975,8.12213175,9.355335,11.0
3132,M,1.6125,1.2625,0.4125,35.4652245,16.48523425,8.278054,10.8011595,9.0
3133,M,1.5875,1.2375,0.4375,35.98969025,13.70698325,7.18659825,10.0640725,10.0
3134,F,1.8625,1.45,0.5125,61.6034635,31.6096925,11.0279555,13.7495075,11.0
3135,F,1.5875,1.25,0.3875,37.0527965,14.47241975,7.3425205,12.190285,13.0
3136,F,1.6375,1.375,0.4875,40.86580425,18.540573,9.70970375,10.19164525,11.0
3137,M,1.2625,0.9625,0.3125,16.51358375,7.10154975,4.43669675,4.9611625,9.0
3138,M,1.425,1.1375,0.3375,25.060958,9.922325,5.40057975,7.087375,12.0
3139,F,1.5625,1.25,0.4,32.545226,16.48523425,6.93145275,8.788345,9.0
3140,M,1.4625,1.15,0.35,28.19357775,14.13222575,5.3580555,8.0796075,9.0
3141,I,0.95,0.7125,0.275,7.9662095,3.55786225,1.6159215,2.1262125,6.0
3142,M,1.5375,1.1875,0.4125,31.53881875,14.01882775,7.41339425,7.654365,10.0
3143,I,1.5125,1.125,0.375,23.756881,10.149121,4.32329875,6.3786375,10.0
3144,F,1.45,1.1375,0.4,28.689694,12.0485375,6.633783,8.6465975,12.0
3145,M,1.4375,1.1,0.375,24.56484175,9.05766525,5.2446575,7.427569,10.0
3146,F,1.6,1.225,0.4125,33.5941575,13.8062065,8.448151,8.448151,10.0
3147,F,1.55,1.2125,0.3875,28.76056775,12.09106175,6.747181,8.391452,12.0
3148,I,0.325,0.3,0.0875,0.3685435,0.226796,0.12757275,0.113398,4.0
3149,M,1.6,1.2625,0.4,36.7693015,16.0174675,7.257472,9.07184,15.0
3150,F,1.575,1.2,0.4375,33.40988575,14.5999925,6.90310325,9.355335,13.0
3151,I,1.45,1.1375,0.4,20.241543,11.623295,3.92640575,6.23689,11.0
3152,M,1.1,0.875,0.275,10.33339275,4.40834725,1.97029025,3.3168915,10.0
3153,M,1.5125,1.225,0.3875,28.02348075,13.65028425,6.56290925,8.3631025,9.0
3154,F,1.325,1.0125,0.375,20.97863,6.9456275,4.77689075,5.953395,10.0
3155,M,1.5625,1.2,0.4125,33.40988575,14.84096325,8.68912175,9.7805775,12.0
3156,F,1.4875,1.15,0.375,31.808139,13.6361095,6.56290925,8.9300925,11.0
3157,M,1.3875,1.0625,0.3625,22.5945515,8.1930055,4.77689075,7.6260155,10.0
3158,I,0.9,0.6625,0.225,6.13766675,2.721552,1.0489315,2.1262125,7.0
3159,F,1.625,1.25,0.4125,34.8415355,17.8885345,7.2858215,9.4970825,11.0
3160,M,1.475,1.125,0.3625,30.43318825,14.58581775,6.860579,7.37087,9.0
3161,M,1.5375,1.2625,0.4125,30.83008125,13.02659525,6.22271525,8.50485,10.0
3162,I,1.2125,0.9,0.3,13.90542975,5.71242425,3.01922175,4.1673765,9.0
3163,F,1.625,1.3125,0.4875,38.20095125,12.643877,7.7961125,12.0485375,15.0
3164,I,0.4375,0.3375,0.1,0.86465975,0.3118445,0.21262125,0.283495,5.0
3165,M,1.425,1.125,0.3875,25.7129965,11.453198,5.839997,7.2291225,10.0
3166,M,1.0,0.775,0.225,8.674947,3.55786225,1.6159215,2.4097075,7.0
3167,I,0.95,0.7125,0.275,7.55514175,3.1467945,1.7293195,2.1262125,10.0
3168,M,1.575,1.2875,0.4125,35.02580725,16.6978555,6.90310325,9.93649975,11.0
3169,M,1.5375,1.175,0.4125,30.4190135,12.2186345,6.22271525,8.0796075,11.0
3170,F,1.125,0.875,0.3,13.437663,5.71242425,2.9199985,4.32329875,8.0
3171,M,1.575,1.2125,0.3875,35.98969025,16.68368075,8.60407325,10.07824725,9.0
3172,F,1.475,1.175,0.3875,28.22192725,11.793392,5.613201,8.0796075,14.0
3173,F,1.75,1.35,0.5,41.23434775,18.427175,10.77281,11.056305,12.0
3174,M,1.3125,1.075,0.375,20.82270775,7.7961125,4.03980375,7.7961125,10.0
3175,F,1.6125,1.25,0.475,42.14153175,18.38465075,9.6104805,10.5176645,12.0
3176,M,1.45,1.0625,0.375,24.62154075,11.0846545,4.422522,6.9456275,9.0
3177,I,1.1625,0.925,0.275,11.7083435,4.8477645,2.36718325,3.685435,7.0
3178,F,1.175,0.9375,0.3375,14.92601175,5.9250455,3.345241,4.819415,11.0
3179,I,1.2625,1.0125,0.3,18.27125275,8.94426725,3.64291075,5.2446575,9.0
3180,M,1.3375,1.05,0.375,22.92057075,9.6671795,4.52174525,6.0951425,10.0
3181,I,1.2625,0.9625,0.3375,16.896302,6.9456275,3.33106625,5.2446575,10.0
3182,M,1.3,1.025,0.3125,22.75047375,7.2858215,4.63514325,6.23689,19.0
3183,I,0.7375,0.5375,0.2125,3.96893,1.37495075,0.77961125,0.9922325,5.0
3184,M,1.425,1.15,0.425,27.51318975,12.34620725,4.29494925,6.9456275,11.0
3185,M,1.35,0.9625,0.35,21.21960075,11.0846545,4.309124,5.5281525,7.0
3186,M,1.2125,0.925,0.3,14.458245,6.577084,3.27436725,4.252425,8.0
3187,I,1.175,0.8875,0.275,13.154168,6.2085405,2.721552,3.96893,8.0
3188,M,1.5875,1.3125,0.4625,41.4753185,17.4349425,8.43397625,11.3398,11.0
3189,I,1.3125,1.0,0.3125,17.90270925,7.78193775,3.64291075,4.7910655,9.0
